dataset,algo,k,m,sil,db,ch
blobs,fcm,4,2.0,0.7556721060910236,0.3394276490324028,5937.966481106054
moons,fcm,2,2.0,0.494389506222243,0.8107295580455524,1110.7448719673616
circles,fcm,2,2.0,0.35190899816048654,1.1882474291816179,456.2384256657067
iris,fcm,3,2.0,0.45844171606773937,0.8340456051167718,241.41125563231702
